"ak_district","fips"
"ED 1, Alaska","02901"
"ED 10, Alaska","02910"
"ED 11, Alaska","02911"
"ED 12, Alaska","02912"
"ED 13, Alaska","02913"
"ED 14, Alaska","02914"
"ED 15, Alaska","02915"
"ED 16, Alaska","02916"
"ED 17, Alaska","02917"
"ED 18, Alaska","02918"
"ED 19, Alaska","02919"
"ED 2, Alaska","02902"
"ED 20, Alaska","02920"
"ED 21, Alaska","02921"
"ED 22, Alaska","02922"
"ED 23, Alaska","02923"
"ED 24, Alaska","02924"
"ED 25, Alaska","02925"
"ED 26, Alaska","02926"
"ED 27, Alaska","02927"
"ED 28, Alaska","02928"
"ED 29, Alaska","02929"
"ED 3, Alaska","02903"
"ED 30, Alaska","02930"
"ED 31, Alaska","02931"
"ED 32, Alaska","02932"
"ED 33, Alaska","02933"
"ED 34, Alaska","02934"
"ED 35, Alaska","02935"
"ED 36, Alaska","02936"
"ED 37, Alaska","02937"
"ED 38, Alaska","02938"
"ED 39, Alaska","02939"
"ED 4, Alaska","02904"
"ED 40, Alaska","02940"
"ED 5, Alaska","02905"
"ED 6, Alaska","02906"
"ED 7, Alaska","02907"
"ED 8, Alaska","02908"
"ED 9, Alaska","02909"
