"name","fips","precinctsOf","precinctsIn","pctPrecIn","pctExpVote","totalVote","ts","vote_Trump","vote_Biden","vote_Jorgensen","vote_Write-ins","pct_Trump","pct_Biden","pct_Jorgensen","pct_Write-ins","pct_diff","state","vote_Ventura","vote_Blankenship","vote_Pierce","vote_De La Fuente","pct_Ventura","pct_Blankenship","pct_Pierce","pct_De La Fuente","vote_La Riva","vote_Collins","vote_West","vote_Hawkins","vote_Gammon","vote_Carroll","vote_Myers","pct_La Riva","pct_Collins","pct_West","pct_Hawkins","pct_Gammon","pct_Carroll","pct_Myers"
"Autauga","1001",19,19,100,100,27770,"2020-12-10T01:14:32Z",19838,7503,350,79,71.4,27,1.3,0.3,44.4,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baldwin","1003",51,51,100,100,109679,"2020-12-10T01:36:30Z",83544,24578,1229,328,76.2,22.4,1.1,0.3,53.8,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbour","1005",17,17,100,100,10518,"2021-03-07T03:11:09Z",5622,4816,68,12,53.5,45.8,0.6,0.1,7.7,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bibb","1007",10,10,100,100,9595,"2020-12-10T01:16:44Z",7525,1986,74,10,78.4,20.7,0.8,0.1,57.7,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blount","1009",25,25,100,100,27588,"2021-03-07T03:17:31Z",24711,2640,209,28,89.6,9.6,0.8,0.1,80,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bullock","1011",16,16,100,100,4613,"2021-03-07T03:17:25Z",1146,3446,19,2,24.8,74.7,0.4,0,-49.9,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butler","1013",23,23,100,100,9488,"2021-03-07T03:11:19Z",5458,3965,59,6,57.5,41.8,0.6,0.1,15.7,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calhoun","1015",45,45,100,100,50983,"2021-03-07T03:11:28Z",35101,15216,553,113,68.8,29.8,1.1,0.2,39,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chambers","1017",21,21,100,100,15284,"2020-12-10T01:18:12Z",8753,6365,141,25,57.3,41.6,0.9,0.2,15.7,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherokee","1019",24,24,100,100,12301,"2020-12-10T01:18:28Z",10583,1624,82,12,86,13.2,0.7,0.1,72.8,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilton","1021",19,19,100,100,19310,"2021-03-07T03:11:35Z",16085,3073,123,29,83.3,15.9,0.6,0.2,67.4,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Choctaw","1023",35,35,100,100,7464,"2021-03-07T03:11:42Z",4296,3127,38,3,57.6,41.9,0.5,0,15.7,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarke","1025",21,21,100,100,13135,"2021-03-07T03:11:49Z",7324,5755,49,7,55.8,43.8,0.4,0.1,12,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clay","1027",16,16,100,100,6930,"2021-03-07T03:11:55Z",5601,1267,53,9,80.8,18.3,0.8,0.1,62.5,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
