"fips","state","totalExpVote","totalVote","timeStamp","vote_Hillary Clinton","vote_Donald Trump","NAME","vote_Other","pctExpVote","pct_Hillary Clinton","pct_Donald Trump","ts_pretty","fips_new","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"00000","IL",0,2156395,2017-02-16 14:03:07,1611946,453287,NA,91162,Inf,74.7518891483239,21.020592238435,"February 16, 2017 9:03 AM EST","00000","Clinton","20pctExpVoteIn",53.731296909889,53.731296909889,53.731296909889,NA
"01001","AL",0,24759,2017-02-16 14:02:46,5936,18172,"Autauga County, Alabama",651,Inf,23.9751201583263,73.3955329375177,"February 16, 2017 9:02 AM EST","01001","Trump","20pctExpVoteIn",-49.4204127791914,-49.4204127791914,49.4204127791914,NA
"01003","AL",0,94261,2017-02-16 14:02:45,18458,72883,"Baldwin County, Alabama",2920,Inf,19.5817994716797,77.3204188370588,"February 16, 2017 9:02 AM EST","01003","Trump","20pctExpVoteIn",-57.7386193653791,-57.7386193653791,57.7386193653791,NA
"01005","AL",0,10436,2017-02-16 14:02:46,4871,5454,"Barbour County, Alabama",111,Inf,46.6749712533538,52.2614028363358,"February 16, 2017 9:02 AM EST","01005","Trump","20pctExpVoteIn",-5.58643158298198,-5.58643158298198,5.58643158298198,NA
"01007","AL",0,8753,2017-02-16 14:02:45,1874,6738,"Bibb County, Alabama",141,Inf,21.4098023534788,76.9793213755284,"February 16, 2017 9:02 AM EST","01007","Trump","20pctExpVoteIn",-55.5695190220496,-55.5695190220496,55.5695190220496,NA
"01009","AL",0,25442,2017-02-16 14:02:46,2156,22859,"Blount County, Alabama",427,Inf,8.47417655844666,89.8474962660168,"February 16, 2017 9:02 AM EST","01009","Trump","20pctExpVoteIn",-81.3733197075702,-81.3733197075702,81.3733197075702,NA
"01011","AL",0,4702,2017-02-16 14:02:45,3530,1140,"Bullock County, Alabama",32,Inf,75.0744364100383,24.2450021267546,"February 16, 2017 9:02 AM EST","01011","Clinton","20pctExpVoteIn",50.8294342832837,50.8294342832837,50.8294342832837,NA
"01013","AL",0,8705,2017-02-16 14:02:45,3726,4901,"Butler County, Alabama",78,Inf,42.8029867892016,56.3009764503159,"February 16, 2017 9:02 AM EST","01013","Trump","20pctExpVoteIn",-13.4979896611143,-13.4979896611143,13.4979896611143,NA
"01015","AL",0,47485,2017-02-16 14:02:46,13242,32865,"Calhoun County, Alabama",1378,Inf,27.8867010634937,69.2113298936506,"February 16, 2017 9:02 AM EST","01015","Trump","20pctExpVoteIn",-41.3246288301569,-41.3246288301569,41.3246288301569,NA
"01017","AL",0,13839,2017-02-16 14:02:46,5784,7843,"Chambers County, Alabama",212,Inf,41.7949273791459,56.673170026736,"February 16, 2017 9:02 AM EST","01017","Trump","20pctExpVoteIn",-14.8782426475901,-14.8782426475901,14.8782426475901,NA
"01019","AL",0,10673,2017-02-16 14:02:46,1547,8953,"Cherokee County, Alabama",173,Inf,14.4945188794153,83.8845685374309,"February 16, 2017 9:02 AM EST","01019","Trump","20pctExpVoteIn",-69.3900496580156,-69.3900496580156,69.3900496580156,NA
"01021","AL",0,18272,2017-02-16 14:02:46,2911,15081,"Chilton County, Alabama",280,Inf,15.9314798598949,82.5361208406305,"February 16, 2017 9:02 AM EST","01021","Trump","20pctExpVoteIn",-66.6046409807356,-66.6046409807356,66.6046409807356,NA
"01023","AL",0,7273,2017-02-16 14:02:46,3109,4106,"Choctaw County, Alabama",58,Inf,42.7471469819882,56.4553829231404,"February 16, 2017 9:02 AM EST","01023","Trump","20pctExpVoteIn",-13.7082359411522,-13.7082359411522,13.7082359411522,NA
