"fips","state","totalExpVote","totalVote","timeStamp","vote_Joe Biden","vote_Donald Trump","NAME","vote_Other","pctExpVote","pct_Joe Biden","pct_Donald Trump","ts_pretty","fips_new","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"00000","IL",2417649,2321486,2021-01-26 14:13:02,1725973,558269,NA,37244,96.0224581814813,74.3477669044741,24.0479158607892,"January 26, 2021 9:13 AM EST","00000","Biden","20pctExpVoteIn",50.299851043685,50.299851043685,50.299851043685,NA
"01001","AL",27770,27770,2020-12-09 20:14:32,7503,19838,"Autauga County, Alabama",429,100,27.0183651422398,71.4368023046453,"December 9, 2020 3:14 PM EST","01001","Trump","20pctExpVoteIn",-44.4184371624055,-44.4184371624055,44.4184371624055,NA
"01003","AL",109679,109679,2020-12-09 20:36:30,24578,83544,"Baldwin County, Alabama",1557,100,22.409029987509,76.1713728243328,"December 9, 2020 3:36 PM EST","01003","Trump","20pctExpVoteIn",-53.7623428368238,-53.7623428368238,53.7623428368238,NA
"01005","AL",10518,10518,2021-03-06 22:11:09,4816,5622,"Barbour County, Alabama",80,100,45.7881726563986,53.4512264689104,"March 6, 2021 5:11 PM EST","01005","Trump","20pctExpVoteIn",-7.66305381251188,-7.66305381251188,7.66305381251188,NA
"01007","AL",9595,9595,2020-12-09 20:16:44,1986,7525,"Bibb County, Alabama",84,100,20.6982803543512,78.4262636789995,"December 9, 2020 3:16 PM EST","01007","Trump","20pctExpVoteIn",-57.7279833246482,-57.7279833246482,57.7279833246482,NA
"01009","AL",27588,27588,2021-03-06 22:17:31,2640,24711,"Blount County, Alabama",237,100,9.56937799043062,89.5715528490648,"March 6, 2021 5:17 PM EST","01009","Trump","20pctExpVoteIn",-80.0021748586342,-80.0021748586342,80.0021748586342,NA
"01011","AL",4613,4613,2021-03-06 22:17:25,3446,1146,"Bullock County, Alabama",21,100,74.7019293301539,24.8428354649902,"March 6, 2021 5:17 PM EST","01011","Biden","20pctExpVoteIn",49.8590938651637,49.8590938651637,49.8590938651637,NA
"01013","AL",9488,9488,2021-03-06 22:11:19,3965,5458,"Butler County, Alabama",65,100,41.789629005059,57.5252951096121,"March 6, 2021 5:11 PM EST","01013","Trump","20pctExpVoteIn",-15.7356661045531,-15.7356661045531,15.7356661045531,NA
"01015","AL",50983,50983,2021-03-06 22:11:28,15216,35101,"Calhoun County, Alabama",666,100,29.8452425318243,68.8484396759704,"March 6, 2021 5:11 PM EST","01015","Trump","20pctExpVoteIn",-39.0031971441461,-39.0031971441461,39.0031971441461,NA
"01017","AL",15284,15284,2020-12-09 20:18:12,6365,8753,"Chambers County, Alabama",166,100,41.6448573671814,57.2690395184507,"December 9, 2020 3:18 PM EST","01017","Trump","20pctExpVoteIn",-15.6241821512693,-15.6241821512693,15.6241821512693,NA
"01019","AL",12301,12301,2020-12-09 20:18:28,1624,10583,"Cherokee County, Alabama",94,100,13.2021786846598,86.0336558003414,"December 9, 2020 3:18 PM EST","01019","Trump","20pctExpVoteIn",-72.8314771156817,-72.8314771156817,72.8314771156817,NA
"01021","AL",19310,19310,2021-03-06 22:11:35,3073,16085,"Chilton County, Alabama",152,100,15.9140341791818,83.2988089073019,"March 6, 2021 5:11 PM EST","01021","Trump","20pctExpVoteIn",-67.3847747281201,-67.3847747281201,67.3847747281201,NA
"01023","AL",7464,7464,2021-03-06 22:11:42,3127,4296,"Choctaw County, Alabama",41,100,41.8944265809218,57.556270096463,"March 6, 2021 5:11 PM EST","01023","Trump","20pctExpVoteIn",-15.6618435155413,-15.6618435155413,15.6618435155413,NA
"01025","AL",13135,13135,2021-03-06 22:11:49,5755,7324,"Clarke County, Alabama",56,100,43.8142367719833,55.7594213932242,"March 6, 2021 5:11 PM EST","01025","Trump","20pctExpVoteIn",-11.945184621241,-11.945184621241,11.945184621241,NA
"01027","AL",6930,6930,2021-03-06 22:11:55,1267,5601,"Clay County, Alabama",62,100,18.2828282828283,80.8225108225108,"March 6, 2021 5:11 PM EST","01027","Trump","20pctExpVoteIn",-62.5396825396825,-62.5396825396825,62.5396825396825,NA
"01029","AL",7227,7227,2021-03-06 22:12:00,675,6484,"Cleburne County, Alabama",68,100,9.33997509339975,89.7191088971911,"March 6, 2021 5:12 PM EST","01029","Trump","20pctExpVoteIn",-80.3791338037913,-80.3791338037913,80.3791338037913,NA
"01031","AL",22275,22275,2021-03-06 22:12:05,5076,16899,"Coffee County, Alabama",300,100,22.7878787878788,75.8653198653199,"March 6, 2021 5:12 PM EST","01031","Trump","20pctExpVoteIn",-53.0774410774411,-53.0774410774411,53.0774410774411,NA
"01033","AL",27886,27886,2021-03-06 22:12:14,8343,19203,"Colbert County, Alabama",340,100,29.9182385426379,68.8625116545937,"March 6, 2021 5:12 PM EST","01033","Trump","20pctExpVoteIn",-38.9442731119558,-38.9442731119558,38.9442731119558,NA
"01035","AL",6441,6441,2021-03-06 22:12:21,2966,3442,"Conecuh County, Alabama",33,100,46.0487501940692,53.4389070020183,"March 6, 2021 5:12 PM EST","01035","Trump","20pctExpVoteIn",-7.39015680794908,-7.39015680794908,7.39015680794908,NA
"01037","AL",5479,5479,2021-03-06 22:12:28,1796,3631,"Coosa County, Alabama",52,100,32.7797043256069,66.2712173754335,"March 6, 2021 5:12 PM EST","01037","Trump","20pctExpVoteIn",-33.4915130498266,-33.4915130498266,33.4915130498266,NA
"01039","AL",17430,17430,2021-03-06 22:12:37,2721,14586,"Covington County, Alabama",123,100,15.6110154905336,83.6833046471601,"March 6, 2021 5:12 PM EST","01039","Trump","20pctExpVoteIn",-68.0722891566265,-68.0722891566265,68.0722891566265,NA
"01041","AL",6617,6617,2021-03-06 22:12:42,1700,4864,"Crenshaw County, Alabama",53,100,25.6914009369805,73.5076318573372,"March 6, 2021 5:12 PM EST","01041","Trump","20pctExpVoteIn",-47.8162309203567,-47.8162309203567,47.8162309203567,NA
"01043","AL",41851,41851,2021-03-06 22:12:50,4478,36880,"Cullman County, Alabama",493,100,10.6998638025376,88.1221476189338,"March 6, 2021 5:12 PM EST","01043","Trump","20pctExpVoteIn",-77.4222838163963,-77.4222838163963,77.4222838163963,NA
"01045","AL",19738,19738,2021-03-06 22:13:00,5170,14303,"Dale County, Alabama",265,100,26.1931300030398,72.4642820954504,"March 6, 2021 5:13 PM EST","01045","Trump","20pctExpVoteIn",-46.2711520924106,-46.2711520924106,46.2711520924106,NA
"01047","AL",17864,17864,2021-03-06 22:13:12,12230,5524,"Dallas County, Alabama",110,100,68.46171070309,30.922525750112,"March 6, 2021 5:13 PM EST","01047","Biden","20pctExpVoteIn",37.5391849529781,37.5391849529781,37.5391849529781,NA
