"state","totalExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"IL",0,0,1-01-01,0,0,NA,0,0,NA,NA,"No voting data yet","00000","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Autauga County, Alabama",0,0,NA,NA,"No voting data yet","01001","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Baldwin County, Alabama",0,0,NA,NA,"No voting data yet","01003","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Barbour County, Alabama",0,0,NA,NA,"No voting data yet","01005","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Bibb County, Alabama",0,0,NA,NA,"No voting data yet","01007","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Blount County, Alabama",0,0,NA,NA,"No voting data yet","01009","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Bullock County, Alabama",0,0,NA,NA,"No voting data yet","01011","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Butler County, Alabama",0,0,NA,NA,"No voting data yet","01013","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Calhoun County, Alabama",0,0,NA,NA,"No voting data yet","01015","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Chambers County, Alabama",0,0,NA,NA,"No voting data yet","01017","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Cherokee County, Alabama",0,0,NA,NA,"No voting data yet","01019","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Chilton County, Alabama",0,0,NA,NA,"No voting data yet","01021","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Choctaw County, Alabama",0,0,NA,NA,"No voting data yet","01023","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Clarke County, Alabama",0,0,NA,NA,"No voting data yet","01025","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Clay County, Alabama",0,0,NA,NA,"No voting data yet","01027","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Cleburne County, Alabama",0,0,NA,NA,"No voting data yet","01029","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Coffee County, Alabama",0,0,NA,NA,"No voting data yet","01031","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Colbert County, Alabama",0,0,NA,NA,"No voting data yet","01033","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Conecuh County, Alabama",0,0,NA,NA,"No voting data yet","01035","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Coosa County, Alabama",0,0,NA,NA,"No voting data yet","01037","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Covington County, Alabama",0,0,NA,NA,"No voting data yet","01039","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Crenshaw County, Alabama",0,0,NA,NA,"No voting data yet","01041","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Cullman County, Alabama",0,0,NA,NA,"No voting data yet","01043","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Dale County, Alabama",0,0,NA,NA,"No voting data yet","01045","NA","lessThan20pctIn",NA,NA,NA,NA
